rankingId,rankingTitle,state,value,displayValue,direction,directionLabel,metricId
value-score,Value Score Rankings,Indiana,83,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Minnesota,83,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Alabama,82,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Ohio,81,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Delaware,80,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Illinois,80,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Pennsylvania,78,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Wisconsin,77,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Maryland,72,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Michigan,70,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,New Jersey,64,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Vermont,62,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,New Hampshire,60,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,New York,58,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Alaska,54,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Massachusetts,51,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Maine,47,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Rhode Island,44,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Connecticut,37,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,California,34,,desc,Highest to lowest,valueScore
value-score,Value Score Rankings,Hawaii,2,,desc,Highest to lowest,valueScore
rate-low-to-high,Rate Rankings (Low to High),Idaho,11.74,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),North Dakota,11.92,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Nebraska,12.19,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Louisiana,12.34,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Arkansas,12.83,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Washington,12.86,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Utah,12.97,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Oklahoma,13.05,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Montana,13.12,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),South Dakota,13.14,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Nevada,13.16,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Iowa,13.18,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Kentucky,13.2,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Tennessee,13.28,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Missouri,13.37,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Mississippi,13.91,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Wyoming,14.02,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),North Carolina,14.08,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Kansas,14.48,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),South Carolina,14.72,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Oregon,15,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Georgia,15.22,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Virginia,15.26,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Florida,15.27,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),New Mexico,15.29,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),West Virginia,15.39,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Arizona,15.7,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Colorado,15.79,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Texas,15.83,,asc,Lowest to highest,avgRateCentsPerKwh
rate-low-to-high,Rate Rankings (Low to High),Minnesota,16.04,,asc,Lowest to highest,avgRateCentsPerKwh
